1,1,23,245300,12.01.2025,1
2,2,15,87200,19.01.2025,0
3,3,7,156900,25.01.2025,1
4,4,38,321400,01.02.2025,0
5,5,12,198700,08.02.2025,1
6,6,29,54300,15.02.2025,0
7,7,6,287600,22.02.2025,1
8,8,34,134200,01.03.2025,0
9,9,21,376900,08.03.2025,1
10,10,9,210500,15.03.2025,0
11,11,40,92500,22.03.2025,1
12,12,17,345800,29.03.2025,0
13,13,25,167300,05.04.2025,1
14,14,2,278400,12.04.2025,0
15,15,31,63200,19.04.2025,1
16,16,13,391700,26.04.2025,0
17,17,36,189600,03.05.2025,1
18,18,8,254900,10.05.2025,0
19,19,20,112300,17.05.2025,1
20,20,33,367200,24.05.2025,0
21,21,1,145800,31.05.2025,1
22,22,28,298100,07.06.2025,0
23,23,14,78100,14.06.2025,1
24,24,39,332600,21.06.2025,0
25,25,5,221400,28.06.2025,1
26,26,23,95400,05.07.2025,0
27,27,11,387300,12.07.2025,1
28,28,37,176200,19.07.2025,0
29,29,16,263500,26.07.2025,1
30,30,30,50100,02.08.2025,0
31,31,4,341900,09.08.2025,1
32,32,19,129700,16.08.2025,0
33,33,26,295400,23.08.2025,1
34,34,35,182300,30.08.2025,0
35,35,10,68700,06.09.2025,1
36,36,22,374100,13.09.2025,0
37,37,7,231600,20.09.2025,1
38,38,32,108900,27.09.2025,0
39,39,18,352700,04.10.2025,1
40,40,24,147200,11.10.2025,0
41,41,1,276500,18.10.2025,1
42,42,39,93400,25.10.2025,0
43,43,13,389600,01.11.2025,1
44,44,27,165300,08.11.2025,0
45,45,5,241800,15.11.2025,1
46,46,34,57200,22.11.2025,0
47,47,20,317400,29.11.2025,1
48,48,8,198200,06.12.2025,0
49,49,36,123600,13.12.2025,1
50,50,16,364900,20.12.2025,0
51,51,29,150700,27.12.2025,1
52,52,2,285300,03.01.2026,0
53,53,25,79100,10.01.2025,1
54,54,11,342600,17.01.2025,0
55,55,38,211400,24.01.2025,1
56,56,6,96700,31.01.2025,0
57,57,23,376200,07.02.2025,1
58,58,31,138500,14.02.2025,0
59,59,17,293800,21.02.2025,1
60,60,4,174600,28.02.2025,0
61,12,33,62100,07.03.2025,1
62,25,9,385400,14.03.2025,0
63,38,26,229700,21.03.2025,1
64,47,14,107300,28.03.2025,0
65,3,40,351900,04.04.2025,1
66,19,19,146200,11.04.2025,0
67,31,3,268500,18.04.2025,1
68,44,28,92500,25.04.2025,0
69,57,12,397600,02.05.2025,1
70,8,35,163400,09.05.2025,0
71,16,21,245800,16.05.2025,1
72,29,7,58100,23.05.2025,0
73,41,30,319200,30.05.2025,1
74,53,15,201600,06.06.2025,0
75,2,24,134900,13.06.2025,1
76,14,1,372300,20.06.2025,0
77,27,37,157800,27.06.2025,1
78,39,10,286400,04.07.2025,0
79,50,22,74300,11.07.2025,1
80,5,39,341700,18.07.2025,0
81,18,5,219600,25.07.2025,1
82,32,18,98500,01.08.2025,0
83,45,32,367200,08.08.2025,1
84,58,13,142300,15.08.2025,0
85,10,27,294500,22.08.2025,1
86,23,8,176900,29.08.2025,0
87,35,34,63100,05.09.2025,1
88,48,20,385300,12.09.2025,0
89,60,11,228600,19.09.2025,1
90,7,29,109400,26.09.2025,0
91,20,16,353800,03.10.2025,1
92,33,2,147100,10.10.2025,0
93,46,25,271600,17.10.2025,1
94,1,38,93400,24.10.2025,0
95,13,6,398200,31.10.2025,1
96,26,31,165700,07.11.2025,0
97,40,19,243900,14.11.2025,1
98,52,4,57200,21.11.2025,0
99,4,33,316400,28.11.2025,1
100,17,9,199300,05.12.2025,0
